gene,t_stat,p_value,log2FC,p_adj
ZNF501,11.064346906116832,6.711834462989053e-27,0.5795528333333397,2.4459672242992297e-26
HHATL,11.536013981210413,6.82079891757986e-27,1.1314699847883611,2.4850885218641054e-26
PRELID1,-11.159063336545309,6.921162628159007e-27,-0.3720709451058184,2.5210584571981128e-26
GFPT2,11.11082585191659,6.948458105826751e-27,0.7452665211640248,2.5304023050003427e-26
PLEKHM1P,11.163298707102244,7.061589117513055e-27,0.457310211640217,2.570992850374758e-26
BAI1,11.090117820397973,7.094073312715705e-27,1.0754224146825448,2.5822091441107258e-26
ATG2B,11.09896092674093,7.16496573239943e-27,0.39877308134919787,2.607397243719074e-26
CELSR3,-11.127618549765103,7.388523876098762e-27,-1.0367713558200924,2.688116779780072e-26
L3MBTL,11.054633537762435,7.789020062293603e-27,0.7471389828042314,2.833157143849152e-26
APOBEC3G,11.054605986904786,7.798233957556836e-27,0.6774616997354599,2.8358386453590597e-26
C3orf50,11.541617247080382,7.897758721167801e-27,0.5428998921957673,2.871352798815127e-26
GPR75,11.20179098594107,7.961747355114968e-27,0.7745324900793671,2.8939335228211794e-26
TMEM170B,11.213490054143332,8.006750530294256e-27,0.6983442248677258,2.909604387890976e-26
SLC25A30,11.103929286797724,8.05161303701529e-27,0.4423437294973631,2.925216751555555e-26
RPS23,11.110414900506733,8.565781067320334e-27,0.3800609656084699,3.111284055049096e-26
IKZF1,11.105453096465789,8.669123530218138e-27,0.7761749609788211,3.14807771214077e-26
CXCL6,11.179671343183538,8.702227962588466e-27,1.1737978187830715,3.159354018862877e-26
LOC100128288,11.090726130603407,8.726238722077676e-27,0.5215215740740717,3.167324318807873e-26
IL1RAP,11.063498924767066,9.251571540939872e-27,0.5977561289682498,3.3572106296453267e-26
GJA5,11.082012745490685,9.349611957712074e-27,0.6573502638888957,3.391988108220848e-26
ZNF462,11.03942440378202,9.61388973827584e-27,0.907268746031745,3.4870450011833473e-26
CDH12,11.244488238183672,9.634910995022742e-27,0.9968339186507924,3.4938465518220717e-26
KCNH4,11.162725412316313,9.84851117861483e-27,0.6472755052910018,3.5704621289647405e-26
MT3,-10.968118862664985,9.93455987688791e-27,-0.7254694437830681,3.6008102265641043e-26
